Title,Hours Viewed,id,vote_average,vote_count,release_date,revenue,runtime,budget,original_language,original_title,overview,popularity,poster_path,genres,visualizaciones,budget_millions,budget_category
Gone Girl,300000,210577,7.892,17381,2014-10-01,369330363,149.0,61000000,en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",46.611,/qymaJhucquUwjpb8oiqynMeXnID.jpg,"Mystery, Thriller, Drama",2013.4228187919464,61.0,Alto
Good Burger,100000,14817,5.999,433,1997-07-25,23700000,95.0,8500000,en,Good Burger,Two hapless youths lead their burger joint in a fight against the giant fast-food chain across the street.,21.959,/9Lxw2CCPceBzViBsA00za4oP6OZ.jpg,"Family, Comedy",1052.6315789473683,8.5,Medio
"Good Bye, Lenin!",200000,338,7.56,2206,2003-02-13,79384880,121.0,4800000,de,"Good Bye, Lenin!",Alex Kerner's mother was in a coma while the Berlin wall fell. When she wakes up he must try to keep her from learning what happened (as she was an avid communist supporter) to avoid shocking her which could lead to another heart attack.,15.941,/2QlsdRwkug30lw6DAWG8pxmMuFQ.jpg,"Comedy, Drama",1652.892561983471,4.8,Bajo
Good Luck Chuck,2300000,10030,5.907,1371,2007-09-21,59192128,101.0,25000000,en,Good Luck Chuck,"Cursed since childhood, dentist Charlie Logan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",17.865,/eGxaRbDfxBWPysoxkOfYgkwflxJ.jpg,"Comedy, Romance",22772.27722772277,25.0,Medio
Good Mourning,100000,1290749,0.0,0,,0,70.0,5000,en,Good Mourning,"Everyone has a different way of seeking out a significant other. Whether it be online dating, meeting someone by chance or attending funerals. Nick, goes to funerals to hit on women. One day, his friend Matt convinces Nick to bring him along, it’s on this day that Nick meets Emily, the grieving daughter of the deceased. While attempting to flirt with her, it’s interrupted by well…the apocalypse.",0.0,SinPoster,Unknown,1428.5714285714287,0.005,Bajo
Good Will Hunting,7800000,489,8.149,11111,1997-12-05,225933435,127.0,10000000,en,Good Will Hunting,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",56.169,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,Drama,61417.32283464567,10.0,Medio
GoodFellas,1300000,769,8.464,11726,1990-09-12,46835000,145.0,25000000,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",83.57,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,"Drama, Crime",8965.51724137931,25.0,Medio
Goosebumps 2: Haunted Halloween,3000000,442062,6.111,1358,2018-10-11,93320380,90.0,35000000,en,Goosebumps 2: Haunted Halloween,"Be careful what you wish for. With their after school junk business, best friends Sonny and Sam hope to find treasure in other people’s trash. But when cleaning out the old Stine house, they open a locked book that frees a supernatural nightmare – Slappy! Now, with the help of Sonny’s sister Sarah, they’re in a race against time to get the sinister dummy and all the creatures he’s brought to life back into the pages before he unleashes total pandemonium!",23.627,/t2wy38iiMpB8WsgJi3lYeDnGh2H.jpg,"Adventure, Comedy, Fantasy, Family, Horror",33333.333333333336,35.0,Medio
Gosford Park,300000,5279,6.856,980,2001-11-07,87754044,137.0,19800000,en,Gosford Park,"In 1930’s England, a group of pretentious rich and famous gather together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",20.07,/7r8DeZuaaHCiOEbkqZC6MFmwJ69.jpg,"Drama, Mystery, Thriller",2189.78102189781,19.8,Medio
Gothika,2000000,4970,6.077,2098,2003-11-21,141591324,98.0,40000000,en,Gothika,"After a car crash, a criminal psychologist regains consciousness only to find that she's a patient in the same mental institution that currently employs her. It seems she's been accused of murdering her husband—but she has no memory of committing the crime. As she tries to regain her memory and convince her co-workers of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.",20.694,/frSGNQcWx1ek8dCduFYCux1ho7n.jpg,"Horror, Thriller",20408.163265306124,40.0,Medio
Grace and Grit,2400000,347616,6.5,4,2021-06-04,0,111.0,6000000,en,Grace and Grit,The true love story of iconic philosopher Ken Wilber and his wife Treya in 1980s California as they fall madly in love and are faced with illness and challenges that threaten to tear them apart.,3.25,/sLf5ujBUDbIzopUnMSH7GFnmbkF.jpg,"Drama, Comedy, Romance",21621.62162162162,6.0,Medio
Gran Torino,1600000,13223,7.994,10003,2008-12-12,269958228,116.0,33000000,en,Gran Torino,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",35.849,/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,Drama,13793.103448275862,33.0,Medio
Grandma's Boy,100000,9900,6.529,585,2006-01-06,6538177,94.0,5000000,en,Grandma's Boy,"Even though he's 35, Alex acts more like he's 13, spending his days as the world's oldest video game tester and his evenings developing the next big Xbox game. But when he gets kicked out of his apartment, he's forced to move in with his grandmother.",20.665,/fSRdHBtisU0zhks4OjKezI3jnt7.jpg,Comedy,1063.8297872340424,5.0,Medio
Grease,11500000,621,7.394,6760,1978-07-07,181813770,110.0,6000000,en,Grease,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",37.651,/czVhhAaSBFpakur7U8pOIDV9NUG.jpg,"Romance, Comedy",104545.45454545454,6.0,Medio
Greed,200000,1405,7.435,162,1924-12-04,274827,140.0,665603,en,Greed,"A lottery win of $5,000 forever changes the lives of a miner turned dentist and his wife.",10.014,/zT8XclM0tX5nVsnU3Idsn2Nzdo5.jpg,"Drama, Crime",1428.5714285714287,0.665603,Bajo
Green Book,4200000,490132,8.242,10542,2018-11-16,319700000,130.0,23000000,en,Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",34.768,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,"Drama, Comedy",32307.69230769231,23.0,Medio
Green Lantern,1300000,44912,5.167,6806,2011-06-14,219851172,114.0,200000000,en,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",32.041,/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,"Adventure, Action, Thriller, Science Fiction",11403.508771929824,200.0,Alto
Green Zone,400000,22972,6.456,2019,2010-03-11,94882889,115.0,100000000,en,Green Zone,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",20.64,/czFIaeukSxNEccysQeys1PCkuOG.jpg,"War, Action, Adventure, Drama, Thriller",3478.2608695652175,100.0,Alto
Greenland,1000000,524047,7.14,4013,2020-07-29,52300000,120.0,34000000,en,Greenland,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",35.287,/bNo2mcvSwIvnx8K6y1euAc1TLVq.jpg,"Action, Thriller, Drama",8333.333333333334,34.0,Medio
Gretel & Hansel,100000,542224,5.99,1281,2020-01-30,22304357,87.0,5000000,en,Gretel & Hansel,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",16.122,/mBBBXseq4k4dI63k06XIrsc02j8.jpg,"Fantasy, Horror, Mystery",1149.4252873563219,5.0,Medio
Gridiron Gang,14700000,9766,7.02,896,2006-09-15,41480851,125.0,30000000,en,Gridiron Gang,"Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together.",16.908,/uwAlznw4yrBHbT3fPfTbSRy9UfG.jpg,"Crime, Drama",117600.0,30.0,Medio
Groundhog Day,1900000,137,7.606,7255,1993-02-11,71074049,101.0,14600000,en,Groundhog Day,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",28.171,/wIUz1J3RBBu88NAwTqLdHu4sGOP.jpg,"Romance, Fantasy, Drama, Comedy",18811.881188118812,14.6,Medio
Grown Ups 2,23700000,109418,6.111,3920,2013-07-11,247022278,101.0,80000000,en,Grown Ups 2,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",58.414,/hT6ijOtjtYrnyDhN7VA2QWyGFAm.jpg,Comedy,234653.46534653465,80.0,Alto
Guilty,900000,83801,7.293,94,2011-09-07,0,102.0,6965576,fr,Présumé coupable,"Investigates the corrupt judicial system under which Alain Mar'caux and his wife Edith were arrested on accusations of pedophilia horrific acts they never committed- and the years he spent fighting to get out of prison, clear his name and keep his family.",6.019,/yCXkchvR7mol5GuHnGv9P98hfbV.jpg,"Drama, Crime",8823.529411764706,6.965576,Medio
Gunpowder Milkshake,3000000,574060,6.375,862,2021-07-14,1015760,114.0,30000000,en,Gunpowder Milkshake,"To protect an 8-year-old girl, a dangerous assassin reunites with her mother and her lethal associates to take down a ruthless crime syndicate and its army of henchmen.",22.403,/5AaKulwpUtkscAokKWtLenGTfVS.jpg,"Action, Crime, Thriller",26315.78947368421,30.0,Medio
Hachi: A Dog's Tale,4200000,28178,8.006,6235,2009-06-08,46749646,93.0,16000000,en,Hachi: A Dog's Tale,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,34.409,/lsy3aEsEfYIHdLRk4dontZ4s85h.jpg,"Drama, Family",45161.290322580644,16.0,Medio
Hacksaw Ridge,1800000,324786,8.195,12668,2016-10-07,175302354,139.0,40000000,en,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",74.994,/jcStBvbQt78tPeId5hC7a9jcDOK.jpg,"Drama, History, War",12949.640287769784,40.0,Medio
Half Past Dead,1200000,10167,5.179,321,2002-11-15,19233280,98.0,25000000,en,Half Past Dead,"A man goes undercover in a hi-tech prison to find out information to help prosecute those who killed his wife. While there, he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.",10.326,/fJhudecoqyoZLoCwAZvqNPd7MK5.jpg,"Crime, Action, Thriller",12244.897959183674,25.0,Medio
Hall Pass,100000,48988,5.658,1826,2011-02-25,83200000,105.0,36000000,en,Hall Pass,"When best buds Rick and Fred begin to show signs of restlessness at home, their wives take a bold approach to revitalize their marriages, they grant the guys a 'hall pass'—one week of freedom to do whatever they want. At first, it seems like a dream come true, but they quickly discover that their expectations of the single life—and themselves—are completely and hilariously out of sync with reality.",18.543,/HqwUkeLOm6PUvcMntKvN0iSNR.jpg,"Comedy, Romance",952.3809523809524,36.0,Medio
Halloween Ends,600000,616820,6.212,1413,2022-10-12,104361355,111.0,20000000,en,Halloween Ends,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",45.067,/q06saepaXeBdkMibuN4R2fXmgIw.jpg,"Horror, Thriller",5405.405405405405,20.0,Medio
Halloween Kills,1200000,610253,6.49,2371,2021-10-14,133423964,105.0,20000000,en,Halloween Kills,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.",37.851,/4CclCDyQXBBgz62Qtp3CoflQE5g.jpg,"Horror, Thriller",11428.57142857143,20.0,Medio
Hannibal,2700000,9740,6.771,4320,2001-02-08,351692268,131.0,87000000,en,Hannibal,"After having successfully eluded the authorities for years, Hannibal peacefully lives in Italy in disguise as an art scholar. Trouble strikes again when he's discovered leaving a deserving few dead in the process. He returns to America to make contact with now disgraced Agent Clarice Starling, who is suffering the wrath of a malicious FBI rival as well as the media.",5.532,/v5wAZwRqpGWmyAaaJ8BBHYuNXnj.jpg,"Crime, Drama, Thriller",20610.68702290076,87.0,Alto
Hannibal Rising,400000,1248,6.236,2018,2007-02-06,82169884,121.0,50000000,en,Hannibal Rising,"The story of the early, murderous roots of the cannibalistic killer, Hannibal Lecter – from his hard-scrabble Lithuanian childhood, where he witnesses the repulsive lengths to which hungry soldiers will go to satiate themselves, through his sojourn in France, where as a med student he hones his appetite for the kill.",5.265,/7FTDMQoac0uqJUquZk4KenDzLMZ.jpg,"Crime, Drama, Thriller, Horror",3305.785123966942,50.0,Alto
Happy Death Day 2U,100000,512196,6.304,3118,2019-02-13,25327500,100.0,9000000,en,Happy Death Day 2U,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone.",18.181,/4tdnePOkOOzwuGPEOAHp8UA4vqx.jpg,"Comedy, Horror, Science Fiction",1000.0,9.0,Medio
Happy Family,200000,85277,5.667,9,2006-12-14,966214,83.0,800000,nl,'N Beetje Verliefd,"Thijs is a ripe-age Dutch tomato grower. His adult daughters plan to have him move in a skyscraper-flat, leaving home and professional life, but he takes his adolescent (half-)Moroccon grandson Omar's advice to refuse and keep living. Thijs even lets the cheerful rascal coach his love-life, which lands him on a blind date with Jacky, an energetic Flemish woman, who won't take no for an answer but turns up at his door-step till he consents, and soon drags him into evening life, preparing for a dance contest. Soon after Omar turns up, listless and lazier then ever, runaway from school and home. The obvious reason for the horny hound's hanging head is a girl: Mergal is foxy, Turkish and as smitten as he, but her burly big brother Erhan will only allow a boy to go steady with her who has proven himself his better on the field in the traditional manly sport of oil-wrestling. Now Thijs...",1.232,/8XHRTKIgtemMzqW4qt13lwgUmRh.jpg,"Comedy, Romance",2409.6385542168673,0.8,Bajo
Happy Feet,1200000,9836,6.174,4752,2006-11-16,384335608,108.0,100000000,en,Happy Feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",33.717,/zP4CK9O70P8GDilfTkPm4lrmaks.jpg,"Animation, Comedy, Family",11111.111111111111,100.0,Alto
Happy Feet Two,400000,65759,6.118,1471,2011-11-17,150406466,100.0,130000000,en,Happy Feet Two,"Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters The Mighty Sven, a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to brings together the penguin nations and their allies to set things right.",26.839,/2gWiQ4mn85jcXtREVePlVViupeV.jpg,"Animation, Comedy, Family",4000.0,130.0,Alto
Happy Gilmore,2300000,9614,6.619,2400,1996-02-16,41205099,92.0,12000000,en,Happy Gilmore,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",21.8,/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg,Comedy,25000.0,12.0,Medio
Hard Target,3100000,2019,6.315,1013,1993-04-27,74189677,97.0,18000000,en,Hard Target,"When a woman's father goes missing, she enlists a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",43.879,/kufvuQYWdl82sYzmhy2naBLyMui.jpg,"Action, Adventure, Crime, Thriller",31958.76288659794,18.0,Medio
Hardcore Henry,600000,325348,6.382,2211,2015-09-12,14333790,96.0,2000000,en,Hardcore Henry,"Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore Henry takes place over the course of one day, in Moscow, Russia.",19.836,/ik1uZyiMSxF9HqrgRKUNfMCfr3z.jpg,"Action, Adventure, Science Fiction",6250.0,2.0,Bajo
Harold & Kumar Escape from Guantanamo Bay,700000,13335,6.264,1334,2008-04-25,43493123,101.0,12000000,en,Harold & Kumar Escape from Guantanamo Bay,"Having satisfied their urge for White Castle, Harold and Kumar jump on a plane to catch up with Harold's love interest, who's headed for the Netherlands. But the pair must change their plans when Kumar is accused of being a terrorist. Rob Corddry also stars in this wild comedy sequel that follows the hapless stoners' misadventures as they try to avoid being captured by the Department of Homeland Security.",14.959,/pRo2wOKbJEfoLnTK1APcDtKfGzL.jpg,"Comedy, Adventure",6930.693069306931,12.0,Medio
Harry Potter and the Chamber of Secrets,23600000,672,7.721,20390,2002-11-13,876688482,161.0,100000000,en,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",121.699,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,"Adventure, Fantasy",146583.850931677,100.0,Alto
Harry Potter and the Deathly Hallows: Part 1,14200000,12444,7.763,17782,2010-11-17,954305868,146.0,250000000,en,Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",111.984,/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,"Adventure, Fantasy",97260.27397260274,250.0,Alto
Harry Potter and the Deathly Hallows: Part 2,12400000,12445,8.105,19183,2011-07-12,1341511219,130.0,125000000,en,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",110.974,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,"Fantasy, Adventure",95384.61538461539,125.0,Alto
Harry Potter and the Goblet of Fire,19100000,674,7.816,19287,2005-11-16,895921036,157.0,150000000,en,Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",134.276,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,"Adventure, Fantasy",121656.05095541402,150.0,Alto
Harry Potter and the Half-Blood Prince,17400000,767,7.697,18127,2009-07-15,933959197,153.0,250000000,en,Harry Potter and the Half-Blood Prince,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",121.735,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,"Adventure, Fantasy",113725.49019607843,250.0,Alto
Harry Potter and the Order of the Phoenix,16300000,675,7.686,18177,2007-07-08,938212738,138.0,150000000,en,Harry Potter and the Order of the Phoenix,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",117.168,/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,"Adventure, Fantasy",118115.9420289855,150.0,Alto
Harry Potter and the Prisoner of Azkaban,19300000,673,8.02,20038,2004-05-31,789804554,141.0,130000000,en,Harry Potter and the Prisoner of Azkaban,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",124.386,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,"Adventure, Fantasy",136879.43262411348,130.0,Alto
Haunted,4200000,254732,4.9,9,2013-03-31,45000,93.0,15000,en,Haunted,Six contestants win a competition to appear on a Live reality TV show at a secret location in rural England. The next ten hours will be spent on a paranormal Investigation with a TV crew searching for the truth behind ghost stories that haunt an old railway station museum.,1.525,/hpO2dt3n9UuMlcZiK2QFqhDHemR.jpg,Horror,45161.290322580644,0.015,Bajo
Haunted,4200000,808683,2.0,1,1993-10-10,0,86.0,2700000,en,Haunted,"The comedic story of 5 children unexpectedly trapped in a haunted house where they encounter Dracula, the Wolfman, Igor and the Frankenstein monster.",0.87,/hFRqlDybt1Ab9bgWoa6o2IfLQMn.jpg,"Comedy, Horror",48837.20930232558,2.7,Bajo
Haywire,600000,70435,5.692,1246,2011-11-01,33372606,93.0,23000000,en,Haywire,A black ops soldier seeks payback after she is betrayed and left for dead.,19.676,/iI3KOQOyTMJgxccs50zjxn3R7DF.jpg,"Action, Drama, Thriller",6451.612903225807,23.0,Medio
He's Just Not That Into You,3600000,10184,6.515,3376,2009-02-06,178866158,129.0,40000000,en,He's Just Not That Into You,"Remember that really cute girl/guy who said they'd call – and didn't? Maybe they lost your number. Maybe they're in the hospital. Maybe they're awed by your looks, brains or success. Or maybe... They're just not that into you.",27.681,/ruc33YnCrmCL8PHdPQVzfa4shWX.jpg,"Comedy, Romance, Drama",27906.976744186046,40.0,Medio
Heart of Champions,1800000,647581,5.721,34,2021-09-16,0,119.0,32000,en,Heart of Champions,"During their last year at an Ivy League college in 1999, a group of friends and crew teammates' lives are changed forever when an army vet takes over as coach of their dysfunctional rowing team.",7.679,/yhBhe8DjdFspNjMOyrqD8i9Gy60.jpg,Drama,15126.050420168067,0.032,Bajo
Hearts in Atlantis,200000,11313,6.748,483,2001-09-28,24185781,101.0,31000000,en,Hearts in Atlantis,A widowed mother and her son change when a mysterious stranger enters their lives.,19.472,/qPTEh8vutS5FSCDoR16MWVGHqTm.jpg,Drama,1980.1980198019803,31.0,Medio
Heartstopper,16000000,10124,3.778,26,2006-10-31,0,84.0,3000000,en,Heartstopper,Two hospitalized young people discover that things can get even worse when the dilapidated institution is stranded by a severe storm and a maniac stalks the corridors butchering the patients and staff.,3.659,/skjeHVCnU7fAym5HKkkl6Mx0uEh.jpg,"Horror, Thriller",190476.19047619047,3.0,Bajo
Heaven Is for Real,5800000,236751,6.707,704,2014-04-16,101332962,99.0,12000000,en,Heaven Is for Real,"The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side.",39.57,/bYJhBhe6CPIHTl62kPfKfqicTaX.jpg,Drama,58585.85858585859,12.0,Medio
Heist,5100000,336004,6.089,853,2015-11-13,4100000,93.0,8900000,en,Heist,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",17.476,/eKdz5i9gbzJthAxUZBBj5SVbzKR.jpg,"Action, Crime, Thriller",54838.709677419356,8.9,Medio
Heist,5100000,11088,6.303,483,2001-11-09,28500000,107.0,35000000,en,Heist,"Joe Moore has a job he loves. He's a thief. His job goes sour when he gets caught on security camera tape. His fence, Bergman, reneges on the money he's owed, and his wife may be betraying him with the fence's young lieutenant. Moore and his partner, Bobby Blane, and their utility man, Pinky Pincus, find themselves broke, betrayed, and blackmailed. Moore is forced to commit his crew to do one last big job.",16.815,/5yKomryA4Oak54fPjBS9TXBmYji.jpg,"Action, Crime, Drama, Thriller",47663.55140186916,35.0,Medio
Hell Fest,100000,429476,5.633,741,2018-09-27,18160930,89.0,5500000,en,Hell Fest,"On Halloween night at a horror theme park, a costumed killer begins slaying innocent patrons who believe that it's all part of the festivities.",13.268,/qgLlnlrUtTKXkdrgMBwUfkyAkya.jpg,"Horror, Thriller",1123.5955056179776,5.5,Medio
Hell or High Water,1100000,338766,7.304,4128,2016-08-11,37589296,102.0,12000000,en,Hell or High Water,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,15.749,/ljRRxqy2aXIkIBXLmOVifcOR021.jpg,"Western, Crime, Drama",10784.313725490196,12.0,Medio
Hellbound,8300000,564446,0.0,0,2018-11-13,0,69.0,40000,en,Hellbound,Two reckless bikers take a nightmarish journey through the mountains. Shot entirely on black and white 16mm film. It invokes the aesthetic of the classic films of the 1970s.,0.6,/1c9os1zQi5X0hey7J9PKGBGFYHm.jpg,Horror,120289.85507246378,0.04,Bajo
Hellboy II: The Golden Army,500000,11253,6.752,4782,2008-07-11,160388063,120.0,85000000,en,Hellboy II: The Golden Army,"Hellboy, his pyrokinetic girlfriend, Liz, and aquatic empath, Abe Sapien, face their biggest battle when an underworld elven prince plans to reclaim Earth for his magical kindred. Tired of living in the shadow of humans, Prince Nuada tries to awaken an ancient force of killing machines, the all-powerful Golden Army, to clear the way for fantasy creatures to roam free. Only Hellboy can stop the dark prince and prevent humanity's annihilation.",28.563,/fGQAO4RgUzspO7L4u5KXirIn34s.jpg,"Fantasy, Horror, Adventure, Action",4166.666666666667,85.0,Alto
"Hello, My Name Is Doris",200000,320588,6.447,447,2015-11-27,14659448,95.0,1000000,en,"Hello, My Name Is Doris",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,10.583,/iYRpTDqZgA3rsRh4EIkWHsMjAKd.jpg,"Comedy, Drama, Romance",2105.2631578947367,1.0,Bajo
Her,3900000,152601,7.862,13407,2013-12-18,47351251,126.0,23000000,en,Her,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",37.608,/eCOtqtfvn7mxGl6nfmq4b1exJRc.jpg,"Romance, Science Fiction, Drama",30952.380952380954,23.0,Medio
Here Comes the Boom,1000000,87826,6.185,1328,2012-10-11,73100000,105.0,42000000,en,Here Comes the Boom,A high school biology teacher moonlights as a mixed-martial arts fighter in an effort to raise money to save the school's music program.,16.322,/g3ZjNkQP4M7Cs0clPD9q7EO2P1g.jpg,"Comedy, Action",9523.809523809523,42.0,Medio
